"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.896905390E-1,-9.571290761E-2,-4.785645381E-2,9.865608215E0,9.866188558E0
6.920767890E-1,-7.178468257E-2,-3.828516230E-2,9.868000984E0,9.868336345E0
6.944630390E-1,-7.417750359E-2,-2.632104978E-2,9.877572060E0,9.877885649E0
6.968492890E-1,-9.571290761E-2,-3.828516230E-2,9.879964828E0,9.880502605E0
6.992355390E-1,-1.004985496E-1,-5.024927482E-2,9.860821724E0,9.861461860E0
7.016218410E-1,-1.196411327E-1,-3.589234129E-2,9.860821724E0,9.861612816E0
7.040080910E-1,-1.100698411E-1,-2.632104978E-2,9.848857880E0,9.849508094E0
7.063943410E-1,-1.052841991E-1,-3.589234129E-2,9.846465111E0,9.847093388E0
7.087805910E-1,-9.810572863E-2,-3.349951655E-2,9.844072342E0,9.844618186E0
7.111668410E-1,-9.092725813E-2,-5.264209956E-2,9.856036186E0,9.856596180E0
7.135530910E-1,-9.571290761E-2,-4.785645381E-2,9.863214493E0,9.863794976E0
7.159393930E-1,-8.374879509E-2,-5.503492057E-2,9.868000984E0,9.868509823E0
7.183256430E-1,-9.571290761E-2,-4.067798331E-2,9.872786522E0,9.873334258E0
7.207118930E-1,-1.004985496E-1,-3.828516230E-2,9.872786522E0,9.873372242E0
7.230981430E-1,-8.853443712E-2,-3.828516230E-2,9.875179291E0,9.875650365E0
7.254843930E-1,-7.896314561E-2,-3.828516230E-2,9.865608215E0,9.865998499E0
7.278706950E-1,-8.374879509E-2,-4.546362907E-2,9.865608215E0,9.866068430E0
7.302569450E-1,-6.939185411E-2,-5.982056633E-2,9.863214493E0,9.863639990E0
